tree   x   y   rad   votes   z_min   z_max   points
7   -3.90664   4.35919   0.075   18   3.9   4.4   197   
7   -3.86598   4.39673   0.075   17   4.4   4.9   194   
7   -3.83027   4.42172   0.075   16   4.9   5.4   154   
7   -3.8008   4.44672   0.075   16   5.4   5.9   159   
7   -4.49401   4.44937   0.075   14   5.9   6.4   142   
7   -3.70263   4.52173   0.075   13   6.4   6.9   125   
7   -3.66658   4.57172   0.075   16   6.9   7.4   121   
7   -3.64207   4.56788   0.075   17   7.4   7.9   120   
7   -3.59375   4.63804   0.075   15   7.9   8.4   103   
7   -3.56846   4.62173   0.075   12   8.4   8.9   86   
7   -3.5288   4.66324   0.05   10   8.9   9.4   64   
7   -4.5229   4.74246   0.075   7   9.4   9.9   44   
7   -4.55304   4.79672   0.05   8   9.9   10.4   31   
7   -4.53284   4.77173   0.075   5   10.4   10.9   14   
7   -4.52435   4.92172   0.075   6   10.9   11.4   12   
7   -4.45389   4.84672   0.075   6   11.4   11.9   16   
7   -4.44146   4.94672   0.05   4   11.9   12.4   11   
7   -4.35043   4.80266   0.075   6   12.4   12.9   59   
7   -4.57004   3.91571   0.075   4   12.9   13.4   47   
7   -4.39512   4.97876   0.075   4   13.9   14.4   36   
7   -3.97843   4.80582   0.075   5   14.4   14.9   55   
7   -4.19269   4.49037   0.05   4   14.9   15.4   30   
7   -3.60993   4.2839   0.075   5   15.9   16.4   22   
7   -3.97952   4.59139   0.05   4   16.4   16.9   29   
7   -3.78252   4.05348   0.075   6   16.9   17.4   48   
7   -3.95097   4.48487   0.05   4   17.4   17.9   34   
7   -4.03298   4.8183   0.025   3   17.9   18.4   14   
7   -3.56256   4.37765   0.05   3   18.4   18.9   9   
7   -4.66988   4.45673   0.075   3   18.9   19.4   12   
7   -3.74883   4.68301   0.025   3   19.4   19.9   15   
7   -4.0373   4.82055   0.05   3   19.9   20.4   25   
7   -4.12816   4.31943   0.075   5   20.4   20.9   21   
7   -4.76644   4.24524   0.075   4   20.9   21.4   28   
7   -3.9527   4.67172   0.075   3   21.9   22.4   5   
8   -1.66314   -7.71765   0.175   25   -0.6   -0.1   206   
8   -1.65592   -7.72533   0.175   20   -0.1   0.4   191   
8   -1.65871   -7.67565   0.15   18   0.4   0.9   199   
8   -1.63593   -7.67224   0.15   22   0.9   1.4   229   
8   -1.63246   -7.63952   0.15   22   1.4   1.9   265   
8   -1.65013   -7.63333   0.15   21   1.9   2.4   233   
8   -1.65531   -7.63122   0.15   21   2.4   2.9   205   
8   -1.63974   -7.60347   0.15   23   2.9   3.4   188   
8   -1.62752   -7.59632   0.15   23   3.4   3.9   170   
8   -1.64206   -7.57248   0.15   23   3.9   4.4   152   
8   -1.65718   -7.5672   0.15   27   4.4   4.9   137   
8   -1.64996   -7.55844   0.15   17   4.9   5.4   131   
8   -1.63443   -7.51884   0.125   20   5.4   5.9   112   
8   -1.65116   -7.50327   0.125   21   5.9   6.4   105   
8   -1.68019   -7.51652   0.15   21   6.4   6.9   119   
8   -1.64509   -7.47827   0.125   21   6.9   7.4   74   
8   -1.64996   -7.45327   0.125   23   7.4   7.9   77   
8   -1.66535   -7.45327   0.125   18   7.9   8.4   72   
8   -1.66411   -7.42828   0.125   21   8.4   8.9   70   
8   -1.63906   -7.40328   0.125   15   8.9   9.4   58   
8   -1.65053   -7.40328   0.125   22   9.4   9.9   58   
8   -1.65794   -7.40328   0.125   16   9.9   10.4   60   
8   -1.66902   -7.37827   0.125   16   10.4   10.9   58   
8   -1.645   -7.35941   0.125   15   10.9   11.4   55   
8   -1.66682   -7.37827   0.15   13   11.4   11.9   57   
8   -1.63415   -7.30328   0.1   13   11.9   12.4   47   
8   -1.6218   -7.28363   0.1   12   12.4   12.9   45   
8   -1.64524   -7.27828   0.1   9   12.9   13.4   32   
8   -1.64537   -7.25327   0.1   8   13.4   13.9   25   
8   -1.54655   -7.22827   0.05   8   13.9   14.4   31   
8   -1.61111   -7.22827   0.075   9   14.4   14.9   36   
8   -1.64228   -7.15954   0.075   7   14.9   15.4   24   
8   -1.61221   -7.15041   0.075   8   15.4   15.9   23   
8   -1.91218   -7.09238   0.075   8   15.9   16.4   41   
8   -1.58144   -7.10327   0.075   7   16.4   16.9   32   
8   -1.74089   -7.12163   0.075   5   16.9   17.4   33   
8   -2.11989   -7.23736   0.075   4   17.4   17.9   22   
8   -1.31109   -8.20103   0.075   5   17.9   18.4   23   
8   -1.52912   -7.00995   0.05   4   18.4   18.9   16   
